0,0,85,0,0,0,0,0,48,0,0,90,0,0,0,0,0,0,0,0
0,0,0,6,0,0,0,0,78,0,98,0,0,0,0,0,0,0,0,0
14,11,0,0,0,61,0,3,0,0,0,0,0,0,0,0,0,0,24,1
0,0,0,1,0,86,0,0,7,0,0,0,0,0,0,0,0,0,0,0
0,8,0,83,92,74,0,0,0,0,0,0,0,0,59,0,62,99,0,18
0,0,49,0,52,32,40,0,0,0,0,86,0,0,0,57,0,0,0,0
0,0,0,0,0,0,0,0,64,0,12,0,51,0,0,0,0,0,1,0
0,0,77,0,37,0,0,0,0,0,0,77,0,35,0,0,0,0,0,0
0,0,0,61,0,0,61,0,0,0,55,0,0,0,0,0,40,0,0,0
0,100,0,12,4,0,0,0,27,0,0,5,0,0,0,0,0,0,0,0
0,0,0,0,70,81,0,0,0,0,0,0,0,0,0,0,0,0,89,0
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,39
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,89,0,0,0,0,56,0,0,59,0,0,0,0,0,0,53,40,12
0,0,40,0,0,0,0,0,0,0,0,95,8,35,0,0,0,77,0,0
0,0,48,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
0,63,0,0,0,0,47,0,95,0,57,35,0,53,0,0,0,0,0,20
91,0,72,0,0,0,0,65,40,0,0,82,0,0,0,0,0,0,0,0
0,0,12,13,0,0,0,0,0,0,69,85,0,0,0,0,0,0,0,0
0,0,0,0,0,94,0,0,0,75,0,0,0,0,0,0,24,0,0,0
